UUID        = 61d2d1b4-694b-4d43-9460-5caf62d01661
ScanDate    = 20210611_103822
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 69
NumVolumes  = 380
NumEchoes   = 1

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO

     0       0         15333686         15333700     0
     0      23         15333686         15333700     0
     0      46         15333686         15333700     0
     0       2         15333720         15333734     0
     0      25         15333720         15333734     0
     0      48         15333720         15333734     0
     0       4         15333755         15333769     0
     0      27         15333755         15333769     0
     0      50         15333755         15333769     0
     0       6         15333789         15333803     0
     0      29         15333789         15333803     0
     0      52         15333789         15333803     0
     0       8         15333824         15333838     0
     0      31         15333824         15333838     0
     0      54         15333824         15333838     0
     0      10         15333858         15333872     0
     0      33         15333858         15333872     0
     0      56         15333858         15333872     0
     0      12         15333892         15333907     0
     0      35         15333892         15333907     0
     0      58         15333892         15333907     0
     0      14         15333927         15333941     0
     0      37         15333927         15333941     0
     0      60         15333927         15333941     0
     0      16         15333961         15333975     0
     0      39         15333961         15333975     0
     0      62         15333961         15333975     0
     0      18         15333996         15334010     0
     0      41         15333996         15334010     0
     0      64         15333996         15334010     0
     0      20         15334030         15334044     0
     0      43         15334030         15334044     0
     0      66         15334030         15334044     0
     0      22         15334065         15334079     0
     0      45         15334065         15334079     0
     0      68         15334065         15334079     0
     0       1         15334099         15334113     0
     0      24         15334099         15334113     0
     0      47         15334099         15334113     0
     0       3         15334133         15334148     0
     0      26         15334133         15334148     0
     0      49         15334133         15334148     0
     0       5         15334168         15334182     0
     0      28         15334168         15334182     0
     0      51         15334168         15334182     0
     0       7         15334202         15334216     0
     0      30         15334202         15334216     0
     0      53         15334202         15334216     0
     0       9         15334237         15334251     0
     0      32         15334237         15334251     0
     0      55         15334237         15334251     0
     0      11         15334271         15334285     0
     0      34         15334271         15334285     0
     0      57         15334271         15334285     0
     0      13         15334306         15334320     0
     0      36         15334306         15334320     0
     0      59         15334306         15334320     0
     0      15         15334340         15334354     0
     0      38         15334340         15334354     0
     0      61         15334340         15334354     0
     0      17         15334374         15334389     0
     0      40         15334374         15334389     0
     0      63         15334374         15334389     0
     0      19         15334409         15334423     0
     0      42         15334409         15334423     0
     0      65         15334409         15334423     0
     0      21         15334443         15334457     0
     0      44         15334443         15334457     0
     0      67         15334443         15334457     0
     1       0         15334486         15334500     0
     1      23         15334486         15334500     0
     1      46         15334486         15334500     0
     1       2         15334520         15334534     0
     1      25         15334520         15334534     0
     1      48         15334520         15334534     0
     1       4         15334555         15334569     0
     1      27         15334555         15334569     0
     1      50         15334555         15334569     0
     1       6         15334589         15334603     0
     1      29         15334589         15334603     0
     1      52         15334589         15334603     0
     1       8         15334624         15334638     0
     1      31         15334624         15334638     0
     1      54         15334624         15334638     0
     1      10         15334658         15334672     0
     1      33         15334658         15334672     0
     1      56         15334658         15334672     0
     1      12         15334692         15334707     0
     1      35         15334692         15334707     0
     1      58         15334692         15334707     0
     1      14         15334727         15334741     0
     1      37         15334727         15334741     0
     1      60         15334727         15334741     0
     1      16         15334761         15334775     0
     1      39         15334761         15334775     0
     1      62         15334761         15334775     0
     1      18         15334796         15334810     0
     1      41         15334796         15334810     0
     1      64         15334796         15334810     0
     1      20         15334830         15334844     0
     1      43         15334830         15334844     0
     1      66         15334830         15334844     0
     1      22         15334865         15334879     0
     1      45         15334865         15334879     0
     1      68         15334865         15334879     0
     1       1         15334899         15334913     0
     1      24         15334899         15334913     0
     1      47         15334899         15334913     0
     1       3         15334933         15334948     0
     1      26         15334933         15334948     0
     1      49         15334933         15334948     0
     1       5         15334968         15334982     0
     1      28         15334968         15334982     0
     1      51         15334968         15334982     0
     1       7         15335002         15335016     0
     1      30         15335002         15335016     0
     1      53         15335002         15335016     0
     1       9         15335037         15335051     0
     1      32         15335037         15335051     0
     1      55         15335037         15335051     0
     1      11         15335071         15335085     0
     1      34         15335071         15335085     0
     1      57         15335071         15335085     0
     1      13         15335106         15335120     0
     1      36         15335106         15335120     0
     1      59         15335106         15335120     0
     1      15         15335140         15335154     0
     1      38         15335140         15335154     0
     1      61         15335140         15335154     0
     1      17         15335174         15335189     0
     1      40         15335174         15335189     0
     1      63         15335174         15335189     0
     1      19         15335209         15335223     0
     1      42         15335209         15335223     0
     1      65         15335209         15335223     0
     1      21         15335243         15335257     0
     1      44         15335243         15335257     0
     1      67         15335243         15335257     0
     2       0         15335286         15335300     0
     2      23         15335286         15335300     0
     2      46         15335286         15335300     0
     2       2         15335320         15335334     0
     2      25         15335320         15335334     0
     2      48         15335320         15335334     0
     2       4         15335355         15335369     0
     2      27         15335355         15335369     0
     2      50         15335355         15335369     0
     2       6         15335389         15335403     0
     2      29         15335389         15335403     0
     2      52         15335389         15335403     0
     2       8         15335424         15335438     0
     2      31         15335424         15335438     0
     2      54         15335424         15335438     0
     2      10         15335458         15335472     0
     2      33         15335458         15335472     0
     2      56         15335458         15335472     0
     2      12         15335492         15335507     0
     2      35         15335492         15335507     0
     2      58         15335492         15335507     0
     2      14         15335527         15335541     0
     2      37         15335527         15335541     0
     2      60         15335527         15335541     0
     2      16         15335561         15335575     0
     2      39         15335561         15335575     0
     2      62         15335561         15335575     0
     2      18         15335596         15335610     0
     2      41         15335596         15335610     0
     2      64         15335596         15335610     0
     2      20         15335630         15335644     0
     2      43         15335630         15335644     0
     2      66         15335630         15335644     0
     2      22         15335665         15335679     0
     2      45         15335665         15335679     0
     2      68         15335665         15335679     0
     2       1         15335699         15335713     0
     2      24         15335699         15335713     0
     2      47         15335699         15335713     0
     2       3         15335733         15335748     0
     2      26         15335733         15335748     0
     2      49         15335733         15335748     0
     2       5         15335768         15335782     0
     2      28         15335768         15335782     0
     2      51         15335768         15335782     0
     2       7         15335802         15335816     0
     2      30         15335802         15335816     0
     2      53         15335802         15335816     0
     2       9         15335837         15335851     0
     2      32         15335837         15335851     0
     2      55         15335837         15335851     0
     2      11         15335871         15335885     0
     2      34         15335871         15335885     0
     2      57         15335871         15335885     0
     2      13         15335906         15335920     0
     2      36         15335906         15335920     0
     2      59         15335906         15335920     0
     2      15         15335940         15335954     0
     2      38         15335940         15335954     0
     2      61         15335940         15335954     0
     2      17         15335974         15335989     0
     2      40         15335974         15335989     0
     2      63         15335974         15335989     0
     2      19         15336009         15336023     0
     2      42         15336009         15336023     0
     2      65         15336009         15336023     0
     2      21         15336043         15336057     0
     2      44         15336043         15336057     0
     2      67         15336043         15336057     0
     3       0         15336086         15336100     0
     3      23         15336086         15336100     0
     3      46         15336086         15336100     0
     3       2         15336120         15336134     0
     3      25         15336120         15336134     0
     3      48         15336120         15336134     0
     3       4         15336155         15336169     0
     3      27         15336155         15336169     0
     3      50         15336155         15336169     0
     3       6         15336189         15336203     0
     3      29         15336189         15336203     0
     3      52         15336189         15336203     0
     3       8         15336224         15336238     0
     3      31         15336224         15336238     0
     3      54         15336224         15336238     0
     3      10         15336258         15336272     0
     3      33         15336258         15336272     0
     3      56         15336258         15336272     0
     3      12         15336292         15336307     0
     3      35         15336292         15336307     0
     3      58         15336292         15336307     0
     3      14         15336327         15336341     0
     3      37         15336327         15336341     0
     3      60         15336327         15336341     0
     3      16         15336361         15336375     0
     3      39         15336361         15336375     0
     3      62         15336361         15336375     0
     3      18         15336396         15336410     0
     3      41         15336396         15336410     0
     3      64         15336396         15336410     0
     3      20         15336430         15336444     0
     3      43         15336430         15336444     0
     3      66         15336430         15336444     0
     3      22         15336465         15336479     0
     3      45         15336465         15336479     0
     3      68         15336465         15336479     0
     3       1         15336499         15336513     0
     3      24         15336499         15336513     0
     3      47         15336499         15336513     0
     3       3         15336533         15336548     0
     3      26         15336533         15336548     0
     3      49         15336533         15336548     0
     3       5         15336568         15336582     0
     3      28         15336568         15336582     0
     3      51         15336568         15336582     0
     3       7         15336602         15336616     0
     3      30         15336602         15336616     0
     3      53         15336602         15336616     0
     3       9         15336637         15336651     0
     3      32         15336637         15336651     0
     3      55         15336637         15336651     0
     3      11         15336671         15336685     0
     3      34         15336671         15336685     0
     3      57         15336671         15336685     0
     3      13         15336706         15336720     0
     3      36         15336706         15336720     0
     3      59         15336706         15336720     0
     3      15         15336740         15336754     0
     3      38         15336740         15336754     0
     3      61         15336740         15336754     0
     3      17         15336774         15336789     0
     3      40         15336774         15336789     0
     3      63         15336774         15336789     0
     3      19         15336809         15336823     0
     3      42         15336809         15336823     0
     3      65         15336809         15336823     0
     3      21         15336843         15336857     0
     3      44         15336843         15336857     0
     3      67         15336843         15336857     0
     4       0         15336886         15336900     0
     4      23         15336886         15336900     0
     4      46         15336886         15336900     0
     4       2         15336920         15336934     0
     4      25         15336920         15336934     0
     4      48         15336920         15336934     0
     4       4         15336955         15336969     0
     4      27         15336955         15336969     0
     4      50         15336955         15336969     0
     4       6         15336989         15337003     0
     4      29         15336989         15337003     0
     4      52         15336989         15337003     0
     4       8         15337024         15337038     0
     4      31         15337024         15337038     0
     4      54         15337024         15337038     0
     4      10         15337058         15337072     0
     4      33         15337058         15337072     0
     4      56         15337058         15337072     0
     4      12         15337092         15337107     0
     4      35         15337092         15337107     0
     4      58         15337092         15337107     0
     4      14         15337127         15337141     0
     4      37         15337127         15337141     0
     4      60         15337127         15337141     0
     4      16         15337161         15337175     0
     4      39         15337161         15337175     0
