UUID        = 61d2d1b4-694b-4d43-9460-5caf62d01661
ScanDate    = 20210611_103822
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     15322458     PULS   1708 
     15322460     PULS   1723 
     15322462     PULS   1723 
     15322464     PULS   1723 
     15322466     PULS   1723 
     15322468     PULS   1738 
     15322470     PULS   1723 
     15322472     PULS   1723 
     15322474     PULS   1723 
     15322476     PULS   1723 
     15322478     PULS   1723 
     15322480     PULS   1708 
     15322482     PULS   1708 
     15322484     PULS   1708 
     15322486     PULS   1708 
     15322488     PULS   1723 
     15322490     PULS   1708 
     15322492     PULS   1723 
     15322494     PULS   1723 
     15322496     PULS   1723 
     15322497     PULS   1708 
     15322499     PULS   1708 
     15322501     PULS   1694 
     15322503     PULS   1708 
     15322505     PULS   1694 
     15322507     PULS   1664 
     15322509     PULS   1635 
     15322511     PULS   1605 
     15322513     PULS   1576 
     15322515     PULS   1531 
     15322517     PULS   1487 
     15322519     PULS   1472 
     15322521     PULS   1472 
     15322523     PULS   1443 
     15322525     PULS   1458 
     15322527     PULS   1458 
     15322529     PULS   1472 
     15322531     PULS   1472 
     15322533     PULS   1487 
     15322535     PULS   1502 
     15322537     PULS   1487 
     15322539     PULS   1487 
     15322541     PULS   1487 
     15322543     PULS   1472 
     15322545     PULS   1458 
     15322547     PULS   1458 
     15322549     PULS   1428 
     15322551     PULS   1428 
     15322553     PULS   1443 
     15322555     PULS   1443 
     15322557     PULS   1458 
     15322559     PULS   1472 
     15322561     PULS   1502 
     15322563     PULS   1531 
     15322565     PULS   1546 
     15322567     PULS   1576 
     15322569     PULS   1620 
     15322571     PULS   1664 
     15322573     PULS   1694 
     15322575     PULS   1723 
     15322577     PULS   1767 
     15322579     PULS   1797 
     15322581     PULS   1826 
     15322583     PULS   1841 
     15322585     PULS   1856 
     15322587     PULS   1871 
     15322589     PULS   1885 
     15322591     PULS   1871 
     15322593     PULS   1871 
     15322595     PULS   1841 
     15322597     PULS   1826 
     15322599     PULS   1812 
     15322601     PULS   1797 
     15322603     PULS   1782 
     15322605     PULS   1767 
     15322607     PULS   1767 
     15322609     PULS   1767 
     15322611     PULS   1753  PULS_TRIGGER
     15322613     PULS   1753 
     15322615     PULS   1767 
     15322617     PULS   1767 
     15322619     PULS   1767 
     15322621     PULS   1782 
     15322623     PULS   1782 
     15322625     PULS   1812 
     15322627     PULS   1826 
     15322629     PULS   1812 
     15322631     PULS   1826 
     15322633     PULS   1826 
     15322635     PULS   1841 
     15322637     PULS   1856 
     15322639     PULS   1856 
     15322641     PULS   1856 
     15322643     PULS   1871 
     15322645     PULS   1871 
     15322647     PULS   1871 
     15322649     PULS   1856 
     15322651     PULS   1871 
     15322653     PULS   1871 
     15322655     PULS   1871 
     15322657     PULS   1900 
     15322659     PULS   1885 
     15322661     PULS   1885 
