UUID        = 61d2d1b4-694b-4d43-9460-5caf62d01661
ScanDate    = 20210611_103822
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     15322458     RESP   1466 
     15322466     RESP   1382 
     15322474     RESP   1328 
     15322482     RESP   1286 
     15322490     RESP   1253 
     15322497     RESP   1235 
     15322505     RESP   1223 
     15322513     RESP   1214 
     15322521     RESP   1205 
     15322529     RESP   1187 
     15322537     RESP   1163 
     15322545     RESP   1139 
     15322553     RESP   1124 
     15322561     RESP   1118 
     15322569     RESP   1121 
     15322577     RESP   1115 
     15322585     RESP   1097 
     15322593     RESP   1079 
     15322601     RESP   1070 
     15322609     RESP   1067 
     15322617     RESP   1055 
     15322625     RESP   1043 
     15322633     RESP   1034 
     15322641     RESP   1034 
     15322649     RESP   1034 
     15322657     RESP   1034 
     15322665     RESP   1031 
     15322673     RESP   1028 
     15322681     RESP   1019 
     15322689     RESP   1013 
     15322697     RESP   1007 
     15322705     RESP   1010 
     15322713     RESP   1007 
     15322721     RESP   1001 
     15322729     RESP    992 
     15322737     RESP    986 
     15322745     RESP    983 
     15322753     RESP    980 
     15322761     RESP    977 
     15322769     RESP    983 
     15322777     RESP    989 
     15322785     RESP    992 
     15322793     RESP    989 
     15322801     RESP    977 
     15322809     RESP    965 
     15322817     RESP    959 
     15322825     RESP    965 
     15322833     RESP    980 
     15322841     RESP    995 
     15322849     RESP   1004 
     15322857     RESP   1007 
     15322865     RESP    995 
     15322873     RESP    959 
     15322881     RESP    905 
     15322889     RESP    857 
     15322897     RESP    818 
     15322905     RESP    791 
     15322913     RESP    779 
     15322921     RESP    779 
     15322929     RESP    785 
     15322937     RESP    797 
     15322945     RESP    803 
     15322953     RESP    806 
     15322961     RESP    803 
     15322969     RESP    797 
     15322977     RESP    797 
     15322985     RESP    815 
     15322993     RESP    830 
     15323001     RESP    839 
     15323009     RESP    845 
     15323017     RESP    848 
     15323025     RESP    854 
     15323033     RESP    866 
     15323041     RESP    878 
     15323049     RESP    890 
     15323057     RESP    899 
     15323065     RESP    911 
     15323073     RESP    926 
     15323081     RESP    938 
     15323089     RESP    953 
     15323097     RESP    959 
     15323105     RESP    971 
     15323113     RESP    983 
     15323121     RESP    995 
     15323129     RESP   1004 
     15323137     RESP   1016 
     15323145     RESP   1031 
     15323153     RESP   1046 
     15323161     RESP   1067 
     15323169     RESP   1088 
     15323177     RESP   1103 
     15323185     RESP   1121 
     15323193     RESP   1139 
     15323201     RESP   1154 
     15323209     RESP   1166 
     15323217     RESP   1175 
     15323225     RESP   1184 
     15323233     RESP   1193 
     15323241     RESP   1211 
     15323249     RESP   1220 
     15323257     RESP   1223 
     15323265     RESP   1241 
     15323273     RESP   1262 
     15323281     RESP   1289 
     15323289     RESP   1307 
     15323297     RESP   1322 
     15323305     RESP   1331 
     15323313     RESP   1319 
